id;level;content_text;content_text_en;sort_order;is_active;created_at
05017996-14d5-4fb5-9b11-075027537e48;L2;哪一種狀態的你，是你最喜歡的自己？;Which version of yourself do you like the most?;31;true;2026-01-27 13:35:22.643815+00
eebca91b-a0be-424a-8342-f68e68666332;L2;你期待別人怎麼形容你？;How do you hope people would describe you?;32;true;2026-01-27 13:35:22.643815+00
8e5b7432-d3b6-4a09-b40b-4b68d64c3dfc;L2;你在家庭中通常扮演什麼角色？;What role do you usually play in your family?;33;true;2026-01-27 13:35:22.643815+00
e41889cc-ad30-4041-a200-535b8a1d5b04;L2;最近有沒有一件事，讓你對自己有一點肯定？;Is there something recently that made you feel proud of yourself?;34;true;2026-01-27 13:35:22.643815+00
50176113-f51d-46a8-b369-93ec1a49f70b;L3;你內心最柔軟的一塊是什麼？;What is the softest, most tender part of your heart?;35;true;2026-01-27 13:35:22.643815+00
146e4a0e-10a4-47c0-aac5-8363a913ec04;L3;最近一次讓你紅了眼眶的時刻？;When was the last time your eyes welled up with tears?;36;true;2026-01-27 13:35:22.643815+00
36b5fc28-250a-4d96-a879-29a26c96e43a;L3;在人際關係中，你最常壓抑的是哪種情緒？;What emotion do you most often suppress in relationships?;37;true;2026-01-27 13:35:22.643815+00
fc6f6dff-6fd0-4458-a61f-9aeb8b479bc8;L3;有沒有一段關係，至今仍影響你看待世界的方式？;Is there a relationship that still shapes how you see the world?;38;true;2026-01-27 13:35:22.643815+00
ebc32fa8-c8d5-480a-8aa3-f92cceed1c6f;L3;最近一次讓你感到內疚的事情是什麼？;What's something you felt guilty about recently?;39;true;2026-01-27 13:35:22.643815+00
3eb31984-6601-4c7d-bef4-b82acd323c2f;L3;你覺得自己其實很值得被肯定的一件事？;What's something about you that truly deserves affirmation?;40;true;2026-01-27 13:35:22.643815+00
7423b7ab-a75a-4672-8dd3-f40641280566;L3;你現在最怕「來不及」的是什麼？;"What are you most afraid of ""running out of time"" for?";41;true;2026-01-27 13:35:22.643815+00
2f2055a2-958b-4368-97c3-47c0a1a43b77;L3;如果生命可以重來，你最想調整的一段經歷？;If you could redo one part of your life, what would you change?;42;true;2026-01-27 13:35:22.643815+00
b7503688-5590-4ad8-8cff-3aa0ebbde76c;L3;最近你其實在逃避面對的一件事是什麼？;What's something you've been avoiding lately?;43;true;2026-01-27 13:35:22.643815+00
d5d2358c-fb53-447a-bb2b-177517617091;L3;你曾做過最勇敢的一個決定是什麼？;What's the bravest decision you've ever made?;44;true;2026-01-27 13:35:22.643815+00
9a21bb92-d59f-4400-8f7f-f8184c56e598;L3;影響你最深的一個人，教會你什麼？;Who has influenced you the most, and what did they teach you?;45;true;2026-01-27 13:35:22.643815+00
01744bc4-001b-4a67-b1b6-3dbe36be8459;L3;如果人生只剩三年，你會改變什麼？;If you had only three years left, what would you change?;46;true;2026-01-27 13:35:22.643815+00
b91bd725-cf79-4b1c-8fe6-de7bc240ae9f;L3;如果能對一個人說感謝或道歉，你會選誰？;If you could thank or apologize to someone, who would it be?;47;true;2026-01-27 13:35:22.643815+00
8fc8c048-f4fb-42e0-a61a-945b7a0cf73d;L3;有沒有一件你很在意，卻常假裝不在意的事？;Is there something you care deeply about but pretend not to?;48;true;2026-01-27 13:35:22.643815+00
dc7498e8-0857-4b84-9907-9405db982e87;L3;如果能留給未來的自己一樣東西，你會留什麼？;If you could leave one thing for your future self, what would it be?;49;true;2026-01-27 13:35:22.643815+00
b17d0009-85e0-4e55-a15e-1df64cd18866;L3;你現在最想被怎樣對待？;How do you most want to be treated right now?;50;true;2026-01-27 13:35:22.643815+00
9c226a66-5fae-4bfc-b8ec-96104b59539e;L3;如果今天是一個新的開始，你最想放下什麼？;If today were a new beginning, what would you let go of?;51;true;2026-01-27 13:35:22.643815+00
e703da98-7b11-4331-a5aa-8b8b1096eb17;L3;如果要送現在的自己一句話，你會說什麼？;If you could say one sentence to your current self, what would it be?;52;true;2026-01-27 13:35:22.643815+00
